Ranking,Team,Matches,Won,Lost,Tie,No Results,Points,Net Run Rate,For,Against
1,India,9,9,0,0,0,18,2.570,2523/396.2,1708/450.0
2,South Africa,9,7,2,0,0,14,1.261,2685/437.5,2158/443.0
3,Australia,9,7,2,0,0,14,0.841,2631/426.5,2349/441.2
4,New Zealand,9,5,4,0,0,10,0.743,2315/378.0,2279/423.3
5,Pakistan,9,4,5,0,0,8,-0.199,2328/406.2,2385/402.2
6,Afghanistan,9,4,5,0,0,8,-0.336,2095/425.5,2176/414.0
7,England,9,3,6,0,0,6,-0.572,2245/450.0,2291/412.0
8,Bangladesh,9,2,7,0,0,4,-1.087,2053/425.5,2431/411.3
9,Sri Lanka,9,2,7,0,0,4,-1.419,2048/424.0,2459/393.3
10,Netherlands,9,2,7,0,0,4,-1.825,1862/443.0,2549/422.5
